dataset,attribute,group,algorithm,set,iterations,error,classifier_type,classification_algorithm,asian_0.0_a_train_set_,asian_0.0_b_predicted_set_,asian_0.0_c_predictions_set_,asian_1.0_a_train_set_,asian_1.0_b_predicted_set_,asian_1.0_c_predictions_set_,black_0.0_a_train_set_,black_0.0_b_predicted_set_,black_1.0_a_train_set_,black_1.0_b_predicted_set_,black_1.0_c_predictions_set_,hisp_0.0_a_train_set_,hisp_0.0_b_predicted_set_,hisp_1.0_a_train_set_,hisp_1.0_b_predicted_set_,hisp_1.0_c_predictions_set_,other_0.0_a_train_set_,other_0.0_b_predicted_set_,other_1.0_a_train_set_,other_1.0_b_predicted_set_,other_1.0_c_predictions_set_,white_0.0_a_train_set_,white_0.0_b_predicted_set_,white_1.0_a_train_set_,white_1.0_b_predicted_set_,white_1.0_c_predictions_set_,black_0.0_c_predictions_set_,hisp_0.0_c_predictions_set_,other_0.0_c_predictions_set_,white_0.0_c_predictions_set_
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Validation,2,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0356,0.0278,0.0130,0.0132,0.0455,0.0453,0.0039,0.0056,0.0059,0.0397,0.0395,0.0000,0.0018,0.0020,0.0185,0.0165,0.0166,0.0000,0.0274,0.0273,0.8391,0.8117,0.8118,0.0000,0.0107,0.0546,0.0453
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Validation,2,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0455,0.0453,0.0419,0.0056,0.0059,0.0397,0.0395,0.0390,0.0018,0.0020,0.0015,0.0165,0.0166,0.0171,0.0274,0.0273,0.0595,0.8117,0.8118,0.7796,0.0005,0.0166,0.0063
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Validation,2,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0455,0.0453,0.0517,0.0056,0.0059,0.0397,0.0395,0.0429,0.0018,0.0020,0.0015,0.0165,0.0166,0.0171,0.0274,0.0273,0.0068,0.8117,0.8118,0.8323,0.0005,0.0068,0.0024
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,2,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0580,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0015,0.0165,0.0166,0.0166,0.0274,0.0273,0.0063,0.8117,0.8114,0.8324,0.0000,0.0010,0.0000
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,2,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0000,0.0165,0.0166,0.0180,0.0274,0.0273,0.0000,0.8117,0.8114,0.8387,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,2,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0361,0.0283,0.0130,0.0132,0.0455,0.0458,0.0039,0.0056,0.0054,0.0397,0.0400,0.0000,0.0018,0.0015,0.0180,0.0165,0.0166,0.0000,0.0274,0.0273,0.8387,0.8117,0.8114,0.0000,0.0107,0.0551,0.0453
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,2,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0361,0.0380,0.0130,0.0132,0.0455,0.0458,0.0429,0.0056,0.0054,0.0397,0.0400,0.0370,0.0018,0.0015,0.0054,0.0165,0.0166,0.0127,0.0274,0.0273,0.0565,0.8117,0.8114,0.7822,0.0010,0.0161,0.0083
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,2,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0546,0.0056,0.0054,0.0397,0.0400,0.0414,0.0018,0.0015,0.0005,0.0165,0.0166,0.0175,0.0274,0.0273,0.0088,0.8117,0.8114,0.8299,0.0000,0.0044,0.0039
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Validation,2,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0488,0.0056,0.0059,0.0397,0.0395,0.0419,0.0018,0.0020,0.0020,0.0165,0.0166,0.0166,0.0274,0.0273,0.0107,0.8117,0.8118,0.8284,0.0000,0.0098,0.0034
Law School Admission Bar Passage,race1,other,DisparateImpactRemover,Test,2,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0497,0.0056,0.0054,0.0397,0.0400,0.0414,0.0018,0.0015,0.0029,0.0165,0.0166,0.0151,0.0274,0.0273,0.0107,0.8117,0.8114,0.8280,0.0000,0.0093,0.0039
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,1,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0274,0.0273,0.8117,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,1,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0274,0.0273,0.8117,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,1,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0356,0.0224,0.0130,0.0132,0.0455,0.0453,0.0195,0.0056,0.0059,0.0397,0.0395,0.0219,0.0018,0.0020,0.0165,0.0166,0.0078,0.0274,0.0273,0.8117,0.8118,0.3013,0.0161,0.0390,0.0234,0.0107,0.5378
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0356,0.0361,0.0130,0.0132,0.0455,0.0453,0.0492,0.0056,0.0059,0.0397,0.0395,0.0395,0.0018,0.0020,0.0165,0.0166,0.0156,0.0274,0.0273,0.8117,0.8118,0.8245,0.0024,0.0093,0.0059,0.0029,0.0146
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,1,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0356,0.0371,0.0130,0.0132,0.0455,0.0453,0.0517,0.0056,0.0059,0.0397,0.0395,0.0419,0.0018,0.0020,0.0165,0.0166,0.0166,0.0274,0.0273,0.8117,0.8118,0.8337,0.0015,0.0068,0.0034,0.0020,0.0054
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,1,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0274,0.0273,0.8117,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,1,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0274,0.0273,0.8117,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,1,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0361,0.0190,0.0130,0.0132,0.0455,0.0458,0.0166,0.0056,0.0054,0.0397,0.0400,0.0205,0.0018,0.0015,0.0165,0.0166,0.0049,0.0274,0.0273,0.8117,0.8114,0.2968,0.0200,0.0424,0.0249,0.0132,0.5419
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,1,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0361,0.0341,0.0130,0.0132,0.0455,0.0458,0.0478,0.0056,0.0054,0.0397,0.0400,0.0400,0.0018,0.0015,0.0165,0.0166,0.0161,0.0274,0.0273,0.8117,0.8114,0.8246,0.0049,0.0112,0.0054,0.0019,0.0141
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,1,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0361,0.0365,0.0130,0.0132,0.0455,0.0458,0.0512,0.0056,0.0054,0.0397,0.0400,0.0419,0.0018,0.0015,0.0165,0.0166,0.0171,0.0274,0.0273,0.8117,0.8114,0.8319,0.0024,0.0078,0.0034,0.0010,0.0068
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,1,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0575,0.0056,0.0059,0.0397,0.0395,0.0449,0.0018,0.0020,0.0165,0.0166,0.0180,0.0274,0.0273,0.8117,0.8118,0.8362,0.0000,0.0010,0.0005,0.0005,0.0029
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,1,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0361,0.0385,0.0130,0.0132,0.0455,0.0458,0.0580,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0175,0.0274,0.0273,0.8117,0.8114,0.8367,0.0005,0.0010,0.0000,0.0005,0.0019
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,2,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0274,0.0273,0.8117,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,2,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0274,0.0273,0.8117,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,2,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0356,0.0224,0.0130,0.0132,0.0455,0.0453,0.0195,0.0056,0.0059,0.0397,0.0395,0.0219,0.0018,0.0020,0.0165,0.0166,0.0078,0.0274,0.0273,0.8117,0.8118,0.3013,0.0161,0.0390,0.0234,0.0107,0.5378
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,2,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0356,0.0361,0.0130,0.0132,0.0455,0.0453,0.0492,0.0056,0.0059,0.0397,0.0395,0.0395,0.0018,0.0020,0.0165,0.0166,0.0156,0.0274,0.0273,0.8117,0.8118,0.8245,0.0024,0.0093,0.0059,0.0029,0.0146
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,2,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0356,0.0371,0.0130,0.0132,0.0455,0.0453,0.0517,0.0056,0.0059,0.0397,0.0395,0.0419,0.0018,0.0020,0.0165,0.0166,0.0166,0.0274,0.0273,0.8117,0.8118,0.8337,0.0015,0.0068,0.0034,0.0020,0.0054
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,2,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0274,0.0273,0.8117,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,2,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0274,0.0273,0.8117,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,2,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0361,0.0190,0.0130,0.0132,0.0455,0.0458,0.0166,0.0056,0.0054,0.0397,0.0400,0.0205,0.0018,0.0015,0.0165,0.0166,0.0049,0.0274,0.0273,0.8117,0.8114,0.2968,0.0200,0.0424,0.0249,0.0132,0.5419
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,2,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0361,0.0341,0.0130,0.0132,0.0455,0.0458,0.0478,0.0056,0.0054,0.0397,0.0400,0.0400,0.0018,0.0015,0.0165,0.0166,0.0161,0.0274,0.0273,0.8117,0.8114,0.8246,0.0049,0.0112,0.0054,0.0019,0.0141
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,2,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0361,0.0365,0.0130,0.0132,0.0455,0.0458,0.0512,0.0056,0.0054,0.0397,0.0400,0.0419,0.0018,0.0015,0.0165,0.0166,0.0171,0.0274,0.0273,0.8117,0.8114,0.8319,0.0024,0.0078,0.0034,0.0010,0.0068
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Validation,2,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0575,0.0056,0.0059,0.0397,0.0395,0.0449,0.0018,0.0020,0.0165,0.0166,0.0180,0.0274,0.0273,0.8117,0.8118,0.8362,0.0000,0.0010,0.0005,0.0005,0.0029
Law School Admission Bar Passage,race1,white,DisparateImpactRemover,Test,2,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0361,0.0385,0.0130,0.0132,0.0455,0.0458,0.0580,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0175,0.0274,0.0273,0.8117,0.8114,0.8367,0.0005,0.0010,0.0000,0.0005,0.0019
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0274,0.0273,0.0005,0.8117,0.8118,0.8386,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0274,0.0273,0.0000,0.8117,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0356,0.0307,0.0130,0.0132,0.0455,0.0453,0.0078,0.0056,0.0059,0.0397,0.0395,0.0005,0.0018,0.0020,0.0165,0.0166,0.0000,0.0274,0.0273,0.8391,0.8117,0.8118,0.0000,0.0078,0.0507,0.0449,0.0185
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0455,0.0453,0.0434,0.0056,0.0059,0.0397,0.0395,0.0366,0.0018,0.0020,0.0165,0.0166,0.0146,0.0274,0.0273,0.0527,0.8117,0.8118,0.7864,0.0005,0.0151,0.0088,0.0039
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0455,0.0453,0.0507,0.0056,0.0059,0.0397,0.0395,0.0419,0.0018,0.0020,0.0165,0.0166,0.0176,0.0274,0.0273,0.0117,0.8117,0.8118,0.8274,0.0005,0.0078,0.0034,0.0010
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0580,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0171,0.0274,0.0273,0.0005,0.8117,0.8114,0.8382,0.0000,0.0010,0.0000,0.0010
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0274,0.0273,0.0000,0.8117,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0361,0.0312,0.0130,0.0132,0.0455,0.0458,0.0078,0.0056,0.0054,0.0397,0.0400,0.0005,0.0018,0.0015,0.0165,0.0166,0.0000,0.0274,0.0273,0.8387,0.8117,0.8114,0.0000,0.0078,0.0512,0.0448,0.0180
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0361,0.0380,0.0130,0.0132,0.0455,0.0458,0.0443,0.0056,0.0054,0.0397,0.0400,0.0404,0.0018,0.0015,0.0165,0.0166,0.0146,0.0274,0.0273,0.0419,0.8117,0.8114,0.7968,0.0010,0.0146,0.0049,0.0034
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0541,0.0056,0.0054,0.0397,0.0400,0.0443,0.0018,0.0015,0.0165,0.0166,0.0166,0.0274,0.0273,0.0146,0.8117,0.8114,0.8241,0.0000,0.0049,0.0010,0.0015
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0531,0.0056,0.0059,0.0397,0.0395,0.0414,0.0018,0.0020,0.0165,0.0166,0.0176,0.0274,0.0273,0.0180,0.8117,0.8118,0.8211,0.0000,0.0054,0.0039,0.0010
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0521,0.0056,0.0054,0.0397,0.0400,0.0434,0.0018,0.0015,0.0165,0.0166,0.0156,0.0274,0.0273,0.0161,0.8117,0.8114,0.8226,0.0000,0.0068,0.0019,0.0024
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0274,0.0273,0.0005,0.8117,0.8118,0.8386,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0585,0.0056,0.0059,0.0397,0.0395,0.0453,0.0018,0.0020,0.0165,0.0166,0.0185,0.0274,0.0273,0.0000,0.8117,0.8118,0.8391,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0356,0.0307,0.0130,0.0132,0.0455,0.0453,0.0078,0.0056,0.0059,0.0397,0.0395,0.0005,0.0018,0.0020,0.0165,0.0166,0.0000,0.0274,0.0273,0.8391,0.8117,0.8118,0.0000,0.0078,0.0507,0.0449,0.0185
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0455,0.0453,0.0434,0.0056,0.0059,0.0397,0.0395,0.0366,0.0018,0.0020,0.0165,0.0166,0.0146,0.0274,0.0273,0.0527,0.8117,0.8118,0.7864,0.0005,0.0151,0.0088,0.0039
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0455,0.0453,0.0507,0.0056,0.0059,0.0397,0.0395,0.0419,0.0018,0.0020,0.0165,0.0166,0.0176,0.0274,0.0273,0.0117,0.8117,0.8118,0.8274,0.0005,0.0078,0.0034,0.0010
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0580,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0171,0.0274,0.0273,0.0005,0.8117,0.8114,0.8382,0.0000,0.0010,0.0000,0.0010
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0590,0.0056,0.0054,0.0397,0.0400,0.0453,0.0018,0.0015,0.0165,0.0166,0.0180,0.0274,0.0273,0.0000,0.8117,0.8114,0.8387,0.0000,0.0000,0.0000,0.0000
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0361,0.0312,0.0130,0.0132,0.0455,0.0458,0.0078,0.0056,0.0054,0.0397,0.0400,0.0005,0.0018,0.0015,0.0165,0.0166,0.0000,0.0274,0.0273,0.8387,0.8117,0.8114,0.0000,0.0078,0.0512,0.0448,0.0180
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0361,0.0380,0.0130,0.0132,0.0455,0.0458,0.0443,0.0056,0.0054,0.0397,0.0400,0.0404,0.0018,0.0015,0.0165,0.0166,0.0146,0.0274,0.0273,0.0419,0.8117,0.8114,0.7968,0.0010,0.0146,0.0049,0.0034
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0541,0.0056,0.0054,0.0397,0.0400,0.0443,0.0018,0.0015,0.0165,0.0166,0.0166,0.0274,0.0273,0.0146,0.8117,0.8114,0.8241,0.0000,0.0049,0.0010,0.0015
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,2,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0455,0.0453,0.0531,0.0056,0.0059,0.0397,0.0395,0.0414,0.0018,0.0020,0.0165,0.0166,0.0176,0.0274,0.0273,0.0180,0.8117,0.8118,0.8211,0.0000,0.0054,0.0039,0.0010
Law School Admission Bar Passage,race1,asian,LexicographicGeneticAlgorithmFairFeatureSelection,Test,2,False,Target,XGBClassifier,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0455,0.0458,0.0521,0.0056,0.0054,0.0397,0.0400,0.0434,0.0018,0.0015,0.0165,0.0166,0.0156,0.0274,0.0273,0.0161,0.8117,0.8114,0.8226,0.0000,0.0068,0.0019,0.0024
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0020,0.0455,0.0453,0.0566,0.0056,0.0059,0.0049,0.0397,0.0395,0.0405,0.0018,0.0020,0.0039,0.0165,0.0166,0.0146,0.0274,0.0273,0.0775,0.8117,0.8118,0.7616,0.0000
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0356,0.0385,0.0130,0.0132,0.0000,0.0455,0.0453,0.0585,0.0056,0.0059,0.0000,0.0397,0.0395,0.0453,0.0018,0.0020,0.0000,0.0165,0.0166,0.0185,0.0274,0.0273,0.0000,0.8117,0.8118,0.8391,0.0000
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,GaussianNB,0.0030,0.0029,0.0358,0.0356,0.0327,0.0130,0.0132,0.0527,0.0455,0.0453,0.0059,0.0056,0.0059,0.0453,0.0397,0.0395,0.0000,0.0018,0.0020,0.0185,0.0165,0.0166,0.0000,0.0274,0.0273,0.8391,0.8117,0.8118,0.0000,0.0059
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,DecisionTreeClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0132,0.0455,0.0453,0.0453,0.0056,0.0059,0.0063,0.0397,0.0395,0.0390,0.0018,0.0020,0.0029,0.0165,0.0166,0.0156,0.0274,0.0273,0.0531,0.8117,0.8118,0.7860,0.0005
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Validation,1,False,Surrogate,RandomForestClassifier,0.0030,0.0029,0.0358,0.0356,0.0380,0.0130,0.0132,0.0073,0.0455,0.0453,0.0512,0.0056,0.0059,0.0049,0.0397,0.0395,0.0405,0.0018,0.0020,0.0015,0.0165,0.0166,0.0171,0.0274,0.0273,0.0137,0.8117,0.8118,0.8255,0.0005
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,LogisticRegression,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0034,0.0455,0.0458,0.0556,0.0056,0.0054,0.0054,0.0397,0.0400,0.0400,0.0018,0.0015,0.0058,0.0165,0.0166,0.0122,0.0274,0.0273,0.0833,0.8117,0.8114,0.7554,0.0000
Law School Admission Bar Passage,race1,black,LexicographicGeneticAlgorithmFairFeatureSelection,Test,1,False,Surrogate,SVC,0.0030,0.0029,0.0358,0.0361,0.0390,0.0130,0.0132,0.0000,0.0455,0.0458,0.0590,0.0056,0.0054,0.0000,0.0397,0.0400,0.0453,0.0018,0.0015,0.0000,0.0165,0.0166,0.0180,0.0274,0.0273,0.0000,0.8117,0.8114,0.8387,0.0000
